Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10022,phantasy star collection,GBA,2002.0,role-playing,Atari,0.08,0.03,0.0,0.0,0.11
10023,doukoku shoshite...,SAT,1998.0,adventure,Data East,0.0,0.0,0.11,0.0,0.11
10024,lego knights' kingdom,GBA,2004.0,action,THQ,0.08,0.03,0.0,0.0,0.11
10027,retro game challenge,DS,2007.0,action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10028,nba jam 2002,GBA,2002.0,sports,Acclaim Entertainment,0.08,0.03,0.0,0.0,0.11
10029,every extend extra,PSP,2006.0,shooter,Disney Interactive Studios,0.1,0.01,0.0,0.01,0.11
10030,shining force neo,PS2,2005.0,role-playing,Sega,0.06,0.04,0.0,0.01,0.11
10032,brain quest: grades 5 & 6,DS,2008.0,misc,Electronic Arts,0.11,0.0,0.0,0.01,0.11
10034,girl time,DS,2009.0,simulation,THQ,0.11,0.0,0.0,0.01,0.11
10036,ultimate mortal kombat,DS,2007.0,fighting,Midway Games,0.09,0.01,0.0,0.01,0.11
10037,pocket soccer league: calciobit,3DS,2012.0,sports,Nintendo,0.0,0.0,0.11,0.0,0.11
10038,primal rage,PS,1994.0,fighting,Time Warner Interactive,0.06,0.04,0.0,0.01,0.11
10041,heart catch precure! oshare collection,DS,2010.0,action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10043,taito legends,PS2,2005.0,misc,Empire Interactive,0.06,0.04,0.0,0.01,0.11
10045,boombots,PS,1999.0,fighting,SouthPeak Games,0.06,0.04,0.0,0.01,0.11
10046,monster madness: battle for suburbia,X360,2007.0,shooter,SouthPeak Games,0.1,0.0,0.0,0.01,0.11
10051,world championship rugby,PS2,2004.0,sports,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.11
10052,phantom dust,XB,2004.0,action,Microsoft Game Studios,0.08,0.02,0.0,0.0,0.11
10053,shinseiki evangelion: koutetsu no girlfriend,PS,1998.0,adventure,Gainax Network Systems,0.0,0.0,0.11,0.01,0.11
10054,shin sangoku musou: multi raid 2,PSP,2010.0,action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11
10055,taiko drum master: tokumori!,WIIU,2014.0,misc,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10056,growlanser generations,PS2,2003.0,role-playing,Atlus,0.06,0.04,0.0,0.01,0.11
10057,mega man battle chip challenge,GBA,2003.0,misc,Capcom,0.08,0.03,0.0,0.0,0.11
10058,desktop tower defense,DS,2009.0,strategy,THQ,0.11,0.0,0.0,0.01,0.11
10059,puyo puyo tetris,3DS,2014.0,puzzle,Sega,0.0,0.0,0.11,0.0,0.11
10062,the settlers,DS,2007.0,action,Ubisoft,0.1,0.0,0.0,0.01,0.11
10064,my sat coach with the princeton review,DS,2008.0,misc,Ubisoft,0.1,0.0,0.0,0.01,0.11
10065,family fun football,WII,2009.0,sports,Tecmo Koei,0.1,0.0,0.0,0.01,0.11
10066,ring of red,PS2,2000.0,strategy,Konami Digital Entertainment,0.06,0.04,0.0,0.01,0.11
10067,cold winter,PS2,2005.0,shooter,Vivendi Games,0.06,0.04,0.0,0.01,0.11
10068,international track & field 2000,PS,1999.0,sports,Konami Digital Entertainment,0.06,0.04,0.0,0.01,0.11
10069,the hardy boys: treasure on the tracks,DS,2009.0,adventure,Sega,0.11,0.0,0.0,0.01,0.11
10070,pdc world championship darts: pro tour,PS3,2010.0,sports,O-Games,0.0,0.09,0.0,0.03,0.11
10071,stubbs the zombie in rebel without a pulse,XB,2005.0,action,THQ,0.08,0.02,0.0,0.0,0.11
10072,batman: dark tomorrow,XB,2003.0,action,Kemco,0.08,0.02,0.0,0.0,0.11
10073,ping pals,DS,2004.0,misc,THQ,0.1,0.0,0.0,0.01,0.11
10074,fatal frame: maiden of black water,WIIU,2014.0,action,Nintendo,0.0,0.03,0.08,0.0,0.11
10076,blood drive,X360,2010.0,racing,Activision,0.09,0.01,0.0,0.01,0.11
10078,jake hunter detective story: memories of the past,DS,2007.0,adventure,PQube,0.06,0.0,0.05,0.0,0.11
10079,start the party! save the world,PS3,2011.0,misc,Sony Computer Entertainment,0.0,0.09,0.0,0.03,0.11
10081,digimon world ds,DS,2006.0,role-playing,Namco Bandai Games,0.1,0.0,0.0,0.01,0.11
10082,naruto ultimate collection,PS2,2008.0,misc,Namco Bandai Games,0.06,0.04,0.0,0.01,0.11
10083,the king of fighters '99,PS,2000.0,fighting,SNK,0.0,0.0,0.11,0.01,0.11
10084,mass destruction,PS,1997.0,shooter,BMG Interactive Entertainment,0.06,0.04,0.0,0.01,0.11
10089,super swing golf season 2,WII,2007.0,sports,Rising Star Games,0.08,0.0,0.03,0.01,0.11
10090,queen's blade: spiral chaos,PSP,2009.0,role-playing,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10091,jikkyou powerful pro yakyuu '95,PS,1994.0,sports,Konami Digital Entertainment,0.0,0.0,0.11,0.01,0.11
10092,spy vs spy,XB,2005.0,action,Global Star,0.08,0.02,0.0,0.0,0.11
10093,coraline,PS2,2009.0,action,D3Publisher,0.06,0.04,0.0,0.01,0.11
10095,sega touring car championship,SAT,1996.0,racing,Sega,0.0,0.0,0.11,0.0,0.11
10097,jasf: jane's advanced strike fighters,PS3,2011.0,simulation,Deep Silver,0.07,0.03,0.0,0.02,0.11
10098,cake mania,DS,2007.0,puzzle,Majesco Entertainment,0.09,0.01,0.0,0.01,0.11
10099,cold fear,PS2,2005.0,action,Ubisoft,0.06,0.04,0.0,0.01,0.11
10101,zangeki no reginleiv,WII,2010.0,action,Nintendo,0.0,0.0,0.11,0.0,0.11
10102,stronghold kingdoms,PC,2011.0,strategy,DTP Entertainment,0.0,0.1,0.0,0.02,0.11
10103,fabulous finds,DS,2009.0,puzzle,ValuSoft,0.1,0.0,0.0,0.01,0.11
10104,vacation sports,WII,2009.0,sports,Ubisoft,0.1,0.01,0.0,0.01,0.11
10105,daito giken koushiki pachi-slot simulator: hihouden,PS2,2006.0,misc,Daito,0.0,0.0,0.11,0.0,0.11
10107,pimp my ride,WII,2008.0,racing,Activision,0.1,0.0,0.0,0.01,0.11
10109,invizimals: the lost tribes,PSP,2011.0,action,Sony Computer Entertainment,0.0,0.08,0.0,0.04,0.11
10110,let's play garden,DS,2010.0,simulation,Deep Silver,0.11,0.0,0.0,0.01,0.11
10112,murakumo: renegade mech pursuit,XB,2002.0,shooter,From Software,0.04,0.01,0.06,0.0,0.11
10114,samurai warriors 4-ii,PS4,2015.0,action,Tecmo Koei,0.03,0.02,0.06,0.01,0.11
10116,wireway,DS,2009.0,adventure,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
10117,gun metal,XB,2002.0,shooter,Rage Software,0.08,0.02,0.0,0.0,0.11
10118,just in time translations,DS,2009.0,misc,THQ,0.1,0.0,0.0,0.01,0.11
10119,john daly's prostroke golf,PS3,2010.0,sports,O-Games,0.09,0.02,0.0,0.01,0.11
10123,the hardy boys: the hidden theft,WII,2009.0,adventure,The Adventure Company,0.07,0.03,0.0,0.01,0.11
10124,metal slug 4 & 5,PS2,2005.0,shooter,SNK Playmore,0.05,0.04,0.0,0.01,0.11
10125,pac-man and the ghostly adventures 2,X360,2014.0,adventure,Namco Bandai Games,0.05,0.05,0.0,0.01,0.11
10126,ecw anarchy rulz,PS,1999.0,fighting,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.11
10127,inuyasha: a feudal fairy tale,PS,2002.0,fighting,Namco Bandai Games,0.0,0.0,0.1,0.01,0.11
10128,gem quest: 4 elements,DS,2011.0,puzzle,Mastertronic,0.05,0.05,0.0,0.01,0.11
10129,funky barn,3DS,2012.0,simulation,Ubisoft,0.07,0.03,0.0,0.01,0.11
10130,j-league winning eleven 9: asia championship,PS2,2005.0,sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11
10131,sabrina the teenage witch: potion commotion,GBA,2002.0,action,Ubisoft,0.08,0.03,0.0,0.0,0.11
10132,pac-man pinball advance,GBA,2005.0,misc,Zoo Digital Publishing,0.08,0.03,0.0,0.0,0.11
10133,pocket pets,DS,2007.0,simulation,O3 Entertainment,0.1,0.0,0.0,0.01,0.11
10134,yu yu hakusho: tournament tactics,GBA,2004.0,strategy,Atari,0.08,0.03,0.0,0.0,0.11
10135,home run king,GC,2002.0,sports,Sega,0.09,0.02,0.0,0.0,0.11
10137,to heart 2: dungeon travelers,PSP,2011.0,adventure,Aqua Plus,0.0,0.0,0.11,0.0,0.11
10139,lost in blue,DS,2005.0,adventure,Konami Digital Entertainment,0.07,0.02,0.02,0.01,0.11
10140,criminal girls: invite only,PSV,2013.0,role-playing,Nippon Ichi Software,0.04,0.02,0.04,0.02,0.11
10143,truth or lies,X360,2010.0,misc,THQ,0.07,0.03,0.0,0.01,0.11
10144,virtua fighter cg portrait series vol.1: sarah bryant,SAT,1995.0,misc,Sega,0.0,0.0,0.11,0.0,0.11
10145,kousoku card battle: card hero,DS,2007.0,strategy,Nintendo,0.0,0.0,0.11,0.0,0.11
10146,airforce delta strike,PS2,2004.0,simulation,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.11
10147,dora's big birthday adventure,WII,2010.0,misc,Take-Two Interactive,0.1,0.01,0.0,0.01,0.11
10148,tokimeki memorial: girl's side 2nd season,DS,2008.0,adventure,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11
10149,disney's peter pan: return to never land,GBA,2002.0,platform,Ubisoft,0.08,0.03,0.0,0.0,0.11
10152,capcom vs. snk 2 eo,GC,2002.0,fighting,Capcom,0.09,0.02,0.0,0.0,0.11
10154,super run for money tousouchuu atsumare! saikyou no tousou monotachi,3DS,2015.0,action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10155,spyborgs,WII,2009.0,action,Capcom,0.1,0.01,0.0,0.01,0.11
10156,american girl: julie finds a way,DS,2007.0,adventure,THQ,0.1,0.0,0.0,0.01,0.11
10157,contra advance: the alien wars ex,GBA,2002.0,shooter,Konami Digital Entertainment,0.08,0.03,0.0,0.0,0.11
10159,the history channel: battle for the pacific,WII,2007.0,shooter,Activision,0.1,0.0,0.0,0.01,0.11
10160,18 wheels of steel: extreme trucker 2,PC,2011.0,racing,Rondomedia,0.08,0.02,0.0,0.01,0.11
10162,army men: rts,PS2,2002.0,strategy,3DO,0.05,0.04,0.0,0.01,0.11
10163,mobile suit gundam: ms sensen 0079,WII,2007.0,simulation,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10170,shin kamaitachi no yoru: 11 hitome no suspect,PS3,2011.0,adventure,THQ,0.0,0.0,0.11,0.0,0.11
10171,guitar rock tour,DS,2007.0,misc,Gameloft,0.1,0.0,0.0,0.01,0.11
10175,xxx,GBA,2002.0,action,Activision,0.08,0.03,0.0,0.0,0.11
10176,machinarium,PC,2009.0,adventure,Daedalic,0.0,0.09,0.0,0.02,0.11
10178,maximum force,PS,1997.0,shooter,GT Interactive,0.06,0.04,0.0,0.01,0.11
10179,ncis 3d,3DS,2011.0,adventure,Ubisoft,0.06,0.04,0.0,0.01,0.11
10180,worms forts: under siege,PS2,2004.0,strategy,Acclaim Entertainment,0.05,0.04,0.0,0.01,0.11
10181,alvin and the chipmunks: chipwrecked,DS,2011.0,misc,505 Games,0.07,0.03,0.0,0.01,0.11
10182,totally spies! totally party,WII,2008.0,misc,Ubisoft,0.09,0.01,0.0,0.01,0.11
10183,smash court tennis 3,X360,2007.0,sports,Atari,0.08,0.02,0.0,0.01,0.11
10185,naruto shippuden: naruto vs. sasuke,DS,2008.0,action,Takara Tomy,0.08,0.0,0.03,0.01,0.11
10186,dualpensports,3DS,2011.0,sports,Namco Bandai Games,0.05,0.05,0.0,0.01,0.11
10188,astro boy: the video game,PS2,2009.0,action,D3Publisher,0.05,0.04,0.0,0.01,0.11
10189,hop,DS,2011.0,platform,505 Games,0.09,0.01,0.0,0.01,0.11
10190,brave story: new traveler (us sales),PSP,2006.0,role-playing,Sony Computer Entertainment,0.11,0.0,0.0,0.0,0.11
10192,tales of phantasia (ps1 & psp versions),PSP,2006.0,role-playing,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10193,kouchuu ouja mushi king: super collection,DS,2007.0,action,Sega,0.0,0.0,0.11,0.0,0.11
10198,odama,GC,2006.0,misc,Nintendo,0.07,0.02,0.02,0.0,0.11
10200,flatout: ultimate carnage,X360,2007.0,racing,Empire Interactive,0.07,0.03,0.0,0.01,0.11
10201,mobile light force 2,PS2,2002.0,shooter,Taito,0.05,0.04,0.0,0.01,0.11
10202,naval ops: warship gunner,PS2,2003.0,simulation,Tecmo Koei,0.05,0.04,0.0,0.01,0.11
10203,soma bringer,DS,2008.0,role-playing,Nintendo,0.0,0.0,0.11,0.0,0.11
10204,"sesame street: ready, set, grover!",WII,2011.0,misc,Warner Bros. Interactive Entertainment,0.1,0.0,0.0,0.01,0.11
10205,shin sangoku musou 6 special,PSP,2011.0,action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11
10207,go! sudoku (jp sales),PSP,2005.0,puzzle,Sony Computer Entertainment,0.0,0.0,0.11,0.0,0.11
10208,ea replay,PSP,2006.0,action,Electronic Arts,0.09,0.0,0.0,0.01,0.11
10209,paws & claws pet vet: australian adventures,DS,2009.0,simulation,THQ,0.1,0.0,0.0,0.01,0.11
10210,bionicle heroes,GC,2006.0,shooter,Eidos Interactive,0.08,0.02,0.0,0.0,0.11
10211,trauma center: under the knife 2,DS,2008.0,simulation,Atlus,0.1,0.0,0.0,0.01,0.11
10214,the croods: prehistoric party!,WII,2013.0,misc,D3Publisher,0.03,0.07,0.0,0.01,0.11
10215,the king of fighters 2000/2001,PS2,2003.0,fighting,Ignition Entertainment,0.05,0.04,0.0,0.01,0.11
10216,lunacy,SAT,1996.0,adventure,Sega,0.0,0.0,0.11,0.0,0.11
10217,batman & robin,PS,1998.0,action,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.11
10218,snowboard kids 2,N64,1999.0,sports,Atlus,0.09,0.02,0.0,0.0,0.11
10219,tonic trouble,N64,1999.0,platform,Ubisoft,0.09,0.02,0.0,0.0,0.11
10220,nuclear strike 64,N64,1999.0,simulation,THQ,0.09,0.02,0.0,0.0,0.11
10221,chameleon twist,N64,1997.0,platform,Sunsoft,0.09,0.02,0.0,0.0,0.11
10222,top gear rally 2,N64,1999.0,racing,Kemco,0.09,0.02,0.0,0.0,0.11
10223,chopper attack,N64,1997.0,action,GT Interactive,0.09,0.02,0.0,0.0,0.11
10225,fighting force 64,N64,1999.0,action,Crave Entertainment,0.09,0.02,0.0,0.0,0.11
10229,blazblue: calamity trigger portable,PSP,2010.0,fighting,PQube,0.07,0.01,0.03,0.01,0.11
10231,street fighter collection,SAT,1996.0,fighting,Capcom,0.0,0.0,0.11,0.0,0.11
10232,ninja assault,PS2,2002.0,shooter,Namco Bandai Games,0.05,0.04,0.0,0.01,0.11
10235,gungriffon blaze,PS2,2000.0,simulation,Swing! Entertainment,0.05,0.04,0.0,0.01,0.11
10236,higurashi no naku koro ni matsuri,PS2,2007.0,adventure,Alchemist,0.0,0.0,0.11,0.0,0.11
10237,frontier gate,PSP,2011.0,role-playing,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11
10239,top angler: real bass fishing,PS2,2002.0,sports,Xicat Interactive,0.05,0.04,0.0,0.01,0.11
10240,gabrielle's ghostly groove 3d,3DS,2011.0,adventure,Funbox Media,0.08,0.02,0.0,0.01,0.11
10241,michael phelps: push the limit,X360,2011.0,sports,505 Games,0.09,0.01,0.0,0.01,0.11
10242,breakout,PS,1999.0,puzzle,Hasbro Interactive,0.06,0.04,0.0,0.01,0.11
10243,frogger: helmet chaos,PSP,2005.0,platform,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
10244,akb48+me,3DS,2012.0,action,Unknown,0.0,0.0,0.11,0.0,0.11
10245,touch detective 2 1/2,DS,2007.0,adventure,505 Games,0.09,0.0,0.01,0.01,0.11
10246,alias,PS2,2004.0,action,Acclaim Entertainment,0.05,0.04,0.0,0.01,0.11
10249,sakura taisen hanagumi tsuushin,SAT,1997.0,misc,Sega,0.0,0.0,0.11,0.0,0.11
10250,famicom mini: famicom tantei club - kieta koukeisha zenkouhen,GBA,2004.0,adventure,Nintendo,0.0,0.0,0.11,0.0,0.11
10251,tornado outbreak,WII,2009.0,action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
10255,outlaw golf: nine holes of christmas,XB,2002.0,sports,Simon & Schuster Interactive,0.08,0.02,0.0,0.0,0.11
10256,nhl rivals 2004,XB,2003.0,sports,Microsoft Game Studios,0.08,0.02,0.0,0.0,0.11
10258,tyco rc: assault with a battery,PS,1999.0,racing,Syscom,0.06,0.04,0.0,0.01,0.11
10259,felony 11-79,PS,1997.0,racing,ASCII Entertainment,0.06,0.04,0.0,0.01,0.11
10261,classic road,SNES,1993.0,sports,Victor Interactive,0.0,0.0,0.11,0.0,0.11
10262,bust-a-move ds,DS,2005.0,puzzle,505 Games,0.08,0.02,0.0,0.01,0.11
10265,death jr.: root of evil,WII,2008.0,platform,Eidos Interactive,0.1,0.0,0.0,0.01,0.11
10267,panzer dragoon saga,SAT,1997.0,role-playing,Sega,0.0,0.0,0.11,0.0,0.11
10269,mushroom men: rise of the fungi,DS,2008.0,action,SouthPeak Games,0.1,0.0,0.0,0.01,0.11
10270,shining ark,PSP,2013.0,role-playing,Sega,0.0,0.0,0.11,0.0,0.11
10273,transformers: beast wars transmetals,PS,2000.0,fighting,BAM! Entertainment,0.06,0.04,0.0,0.01,0.11
10274,giftpia,GC,,role-playing,Unknown,0.0,0.0,0.11,0.0,0.11
10275,animal planet: vet life,DS,2009.0,simulation,Activision,0.1,0.0,0.0,0.01,0.11
10276,my little sister can't be this cute portable,PSP,2012.0,action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10277,silly bandz: play the craze,DS,2010.0,puzzle,Deep Silver,0.1,0.0,0.0,0.01,0.11
10279,constantine,PS2,2005.0,action,SCi,0.05,0.04,0.0,0.01,0.11
10281,dynasty tactics 2,PS2,2003.0,strategy,Tecmo Koei,0.05,0.04,0.0,0.01,0.11
10282,real world golf,PS2,2005.0,sports,Valcon Games,0.05,0.04,0.0,0.01,0.11
10283,winter heat,SAT,1996.0,sports,Sega,0.0,0.0,0.11,0.0,0.11
10286,ju-on: the grudge,WII,2009.0,action,Rising Star Games,0.08,0.01,0.01,0.01,0.11
10288,deca sports ds,DS,2009.0,sports,Hudson Soft,0.08,0.02,0.0,0.01,0.11
10291,atv: quad frenzy,DS,2005.0,racing,Majesco Entertainment,0.1,0.0,0.0,0.01,0.11
10294,the godfather: mob wars,PSP,2006.0,action,Electronic Arts,0.09,0.01,0.0,0.01,0.11
10295,lady sia,GBA,2001.0,platform,TDK Mediactive,0.08,0.03,0.0,0.0,0.11
10297,rocky balboa,PSP,2007.0,sports,Ubisoft,0.01,0.09,0.0,0.01,0.11
10299,pripara mezase! idol grand prix no.1!,3DS,2015.0,misc,Takara Tomy,0.0,0.0,0.11,0.0,0.11
10300,national geographic challenge!,WII,2011.0,misc,Black Bean Games,0.08,0.02,0.0,0.01,0.11
10301,robotech: invasion,PS2,2004.0,shooter,Global Star,0.05,0.04,0.0,0.01,0.11
10302,hole in the wall: deluxe edition,X360,2011.0,misc,Ubisoft,0.1,0.0,0.0,0.01,0.11
10305,irozuki tingle no koi no balloon trip,DS,2009.0,adventure,Nintendo,0.0,0.0,0.11,0.0,0.11
10306,master of the monster lair,DS,2007.0,role-playing,Rising Star Games,0.1,0.0,0.0,0.01,0.11
10311,final fantasy i & ii,NES,1994.0,role-playing,Square,0.0,0.0,0.11,0.0,0.11
10313,langrisser iv,SAT,1997.0,strategy,NCS,0.0,0.0,0.11,0.0,0.11
10314,foxkids.com micro maniacs racing,PS,2000.0,racing,Codemasters,0.06,0.04,0.0,0.01,0.11
10315,cats & dogs: the revenge of kitty galore,DS,2010.0,action,505 Games,0.1,0.0,0.0,0.01,0.11
10316,hexen: beyond heretic,PS,1997.0,shooter,GT Interactive,0.06,0.04,0.0,0.01,0.11
10317,arcade party pak,PS,1999.0,misc,Midway Games,0.06,0.04,0.0,0.01,0.11
10318,kotoba no puzzle: mojipittan daijiten,PSP,2004.0,puzzle,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10319,yamaha supercross,DS,2009.0,racing,Zoo Digital Publishing,0.1,0.0,0.0,0.01,0.11
10320,picross 3d 2,3DS,2015.0,puzzle,Nintendo,0.0,0.0,0.11,0.0,0.11
10321,hitman trilogy,PS2,2007.0,action,Eidos Interactive,0.05,0.04,0.0,0.01,0.11
10322,dragon quest & final fantasy in itadaki street portable,PSP,2006.0,misc,Square Enix,0.0,0.0,0.11,0.0,0.11
10323,tetris evolution,X360,2007.0,puzzle,THQ,0.08,0.02,0.0,0.01,0.11
10324,patapon 2,PSP,2008.0,misc,Sony Computer Entertainment,0.0,0.03,0.06,0.01,0.11
10326,attack of the movies 3d,WII,2010.0,shooter,Majesco Entertainment,0.1,0.0,0.0,0.01,0.11
10327,railroad tycoon ii,PS,1999.0,strategy,PopTop Software,0.06,0.04,0.0,0.01,0.11
10329,hysteria hospital: emergency ward,DS,2009.0,action,Oxygen Interactive,0.1,0.0,0.0,0.01,0.11
10330,the cheetah girls: pop star sensations,DS,2007.0,misc,Disney Interactive Studios,0.1,0.0,0.0,0.01,0.11
10332,kirarin * revolution: kira kira idol audition,DS,2006.0,simulation,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11
10333,ranma 1/2: akanekodan teki hihou,SNES,1993.0,role-playing,TOHO,0.0,0.0,0.11,0.0,0.11
10335,blades of time,X360,2012.0,action,Konami Digital Entertainment,0.07,0.03,0.0,0.01,0.11
10336,my boyfriend,DS,2008.0,simulation,DTP Entertainment,0.1,0.0,0.0,0.01,0.11
10337,scribblenauts unmasked: a dc comics adventure,WIIU,2013.0,puzzle,Warner Bros. Interactive Entertainment,0.1,0.0,0.0,0.01,0.11
10338,victory zone,PS,1995.0,misc,Sony Computer Entertainment,0.0,0.0,0.1,0.01,0.11
10339,rengoku: the tower of purgatory,PSP,2005.0,action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
10340,goal storm '97,PS,1996.0,sports,Konami Digital Entertainment,0.01,0.0,0.09,0.01,0.11
10342,dynasty warriors advance,GBA,2005.0,action,Nintendo,0.08,0.03,0.0,0.0,0.11
10343,pachi-slot aruze oukoku 3,PS,2000.0,misc,Aruze Corp,0.0,0.0,0.1,0.01,0.11
10345,tournament pool,WII,2009.0,sports,Destineer,0.1,0.0,0.0,0.01,0.11
10347,aqua aqua,PS2,2000.0,puzzle,3DO,0.05,0.04,0.0,0.01,0.11
10348,viewtiful joe: double trouble!,DS,2005.0,action,Capcom,0.08,0.0,0.01,0.01,0.11
10350,mega man zero 4,GBA,2005.0,platform,Capcom,0.08,0.03,0.0,0.0,0.11
10351,black bass with blue marlin,PS,1999.0,sports,Starfish,0.06,0.04,0.0,0.01,0.11
10352,mega man battle network 5: double team ds (jp sales),DS,2005.0,role-playing,Nintendo,0.0,0.0,0.11,0.0,0.11
10353,utawarerumono: chiriyukusha e no komoriuta,PS2,2006.0,adventure,Aqua Plus,0.0,0.0,0.11,0.0,0.11
10354,hyper formation soccer,PS,1995.0,sports,Human Entertainment,0.0,0.0,0.1,0.01,0.11
10356,jupiter strike,PS,1994.0,shooter,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.11
10357,sudokuro,DS,2007.0,puzzle,Crave Entertainment,0.1,0.0,0.0,0.01,0.11
10359,saigo no yakusoku no monogatari,PSP,2011.0,role-playing,Unknown,0.0,0.0,0.11,0.0,0.11
10360,the book of unwritten tales,PC,2009.0,adventure,HMH Interactive,0.0,0.08,0.0,0.02,0.11
10361,metal gear solid integral,PS,1999.0,adventure,Konami Digital Entertainment,0.0,0.0,0.1,0.01,0.11
10362,naruto shippuden 3d: the new era,3DS,2011.0,action,505 Games,0.0,0.04,0.06,0.01,0.11
10364,disney's chicken little: ace in action,WII,,shooter,Disney Interactive Studios,0.1,0.0,0.0,0.01,0.11
10369,big league sports: summer,DS,2009.0,sports,Activision,0.1,0.0,0.0,0.01,0.11
10372,jampack volume 14 (rp-t),PS2,2006.0,misc,Sony Computer Entertainment,0.05,0.04,0.0,0.01,0.11
10375,martian gothic: unification,PS,2001.0,adventure,Take-Two Interactive,0.06,0.04,0.0,0.01,0.11
10376,woody woodpecker racing,PS,1999.0,racing,Konami Digital Entertainment,0.06,0.04,0.0,0.01,0.11
10377,final fantasy xii international zodiac job system,PS2,2007.0,role-playing,Square Enix,0.0,0.0,0.11,0.0,0.11
10378,barbie in the 12 dancing princesses,DS,2007.0,adventure,Activision,0.09,0.01,0.0,0.01,0.11
10380,carnage heart,PS,1995.0,strategy,Sony Computer Entertainment,0.01,0.01,0.09,0.01,0.11
10381,"grand theft auto: mission pack #1, london 1969",PS,1998.0,adventure,Take-Two Interactive,0.06,0.04,0.0,0.01,0.11
10382,kamen rider: climax heroes,PS2,2009.0,fighting,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10383,robotics;notes,PS3,2012.0,adventure,5pb,0.0,0.0,0.11,0.0,0.11
10384,disney channel collection vol. 1,GBA,2004.0,misc,Unknown,0.08,0.03,0.0,0.0,0.11
10385,total immersion racing,PS2,2002.0,racing,Empire Interactive,0.05,0.04,0.0,0.01,0.11
10386,virtual hydlide,SAT,1995.0,role-playing,Sega,0.0,0.0,0.11,0.0,0.11
10388,tales of the world: reve unitia,3DS,2014.0,role-playing,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10391,the bachelor: the videogame,WII,2010.0,misc,Warner Bros. Interactive Entertainment,0.1,0.0,0.0,0.01,0.11
10394,digimon digital card battle,PS,1999.0,strategy,Namco Bandai Games,0.06,0.04,0.0,0.01,0.11
10395,toukiden 2,PSV,2016.0,action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11
10397,kuroko's basketball: miracle game,PSP,2012.0,sports,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10398,dreamer series: top model,DS,2009.0,simulation,DreamCatcher Interactive,0.1,0.0,0.0,0.01,0.11
10399,jikkyou powerful pro yakyuu 13 ketteiban,PS2,2006.0,sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11
10401,yuusha no kuse ni namaikida or 3d,PSP,2010.0,strategy,Sony Computer Entertainment,0.0,0.0,0.11,0.0,0.11
10402,the first templar,X360,2011.0,action,Kalypso Media,0.06,0.04,0.0,0.01,0.11
10405,petz fashion: dogz & catz,DS,2009.0,simulation,Ubisoft,0.1,0.0,0.0,0.01,0.11
10406,project: horned owl,PS,1995.0,shooter,Sony Computer Entertainment,0.03,0.02,0.05,0.01,0.11
10407,mobile suit gundam age: universe accel / cosmic drive,PSP,2012.0,action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10408,child of light,PSV,2014.0,role-playing,Ubisoft,0.0,0.07,0.02,0.02,0.11
10409,singstar guitar,PS3,2010.0,misc,Sony Computer Entertainment,0.0,0.08,0.0,0.02,0.11
10410,dragon ball z super gokuden: kakusei-hen,SNES,1995.0,role-playing,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
10411,help wanted: 50 wacky jobs,WII,2008.0,simulation,Hudson Soft,0.06,0.04,0.0,0.01,0.11
10412,busou shinki: battle masters mk. 2,PSP,2011.0,action,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11
10414,fairy tail: portable guild,PSP,2010.0,fighting,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11
10417,brunswick circuit pro bowling 2,PS,2000.0,sports,THQ,0.06,0.04,0.0,0.01,0.11
